Inst,NoteType,ID-24,ID-23,ID-22,ID-21,ID-20,ID-19,ID-18,ID-17,ID-16,ID-15,ID-14,ID-13,ID-12,ID-11,ID-10,ID-9,ID-8,ID-7,ID-6,ID-5,ID-4,ID-3,ID-2,ID-1,ID-0
VA,open,1,1,0.95,0.85,1,1,0.95,0.6,0.95,0.85,0.95,0.9,0.95,0.95,0.9,0.15,0.7,0.8,0.8,1,1,0.85,1,0.95,1
VC,open,0.667,1,0.167,0.333,1,1,1,0.667,0.833,1,1,1,0.667,1,1,0.167,0.667,0.667,1,0.833,1,0.667,1,0.833,1
VN1,open,1,1,1,0.8,1,1,1,0.2,0.8,0.8,1,0.6,1,1,0.8,0.2,0.8,0.6,1,0.6,1,1,1,0.8,1
VN2,open,0.944,1,0.889,0.833,1,0.944,0.944,0.556,0.833,0.833,0.889,0.833,0.778,0.944,0.889,0.111,0.333,0.389,0.889,0.889,0.944,0.889,0.944,1,1
VA,fingered,0.927,0.958,0.906,0.729,0.979,0.948,0.99,0.583,0.927,0.865,0.99,0.958,0.906,0.844,0.927,0.146,0.604,0.667,0.792,0.938,0.906,0.771,0.979,0.896,1
VC,fingered,0.851,0.947,0.362,0.447,0.947,0.872,0.947,0.426,0.734,0.819,0.926,0.872,0.681,0.766,0.883,0.17,0.489,0.255,0.851,0.84,0.819,0.745,0.989,0.894,1
VN1,fingered,0.889,0.981,0.907,0.809,0.988,0.988,0.975,0.556,0.87,0.957,0.994,0.877,0.957,0.864,0.963,0.111,0.556,0.5,0.994,0.765,0.969,0.784,0.981,0.846,1
VN2,fingered,0.932,0.977,0.894,0.848,0.97,0.962,0.962,0.629,0.879,0.939,0.962,0.894,0.924,0.917,0.932,0.121,0.394,0.356,0.947,0.955,0.97,0.97,0.992,0.939,1
VA,bow,0.98,0.98,0.929,0.788,0.99,0.98,0.99,0.576,0.949,0.889,0.98,0.97,0.929,0.939,0.96,0.172,0.646,0.798,0.859,0.97,0.939,0.798,0.99,0.919,1
VC,bow,0.888,0.966,0.348,0.461,0.955,0.899,0.955,0.416,0.73,0.831,0.944,0.888,0.685,0.865,0.91,0.18,0.506,0.303,0.888,0.876,0.843,0.742,0.989,0.91,1
VN1,bow,0.955,0.991,0.973,0.848,0.991,0.982,0.991,0.5,0.911,0.973,1,0.866,0.964,0.982,0.982,0.116,0.625,0.679,1,0.759,0.982,0.795,1,0.893,1
VN2,bow,0.983,1,0.913,0.887,0.991,1,0.983,0.635,0.887,0.93,0.983,0.922,0.974,0.991,0.965,0.139,0.357,0.461,0.974,0.991,0.983,0.983,0.991,0.983,1
VA,finger,0.706,0.882,0.824,0.529,0.941,0.824,0.941,0.647,0.824,0.706,1,0.824,0.824,0.412,0.706,0,0.471,0.059,0.412,0.824,0.824,0.706,0.941,0.824,1
VC,finger,0.455,0.818,0.364,0.273,0.909,0.727,0.909,0.636,0.818,0.818,0.818,0.818,0.636,0.091,0.727,0.091,0.455,0.091,0.636,0.545,0.727,0.727,1,0.727,1
VN1,finger,0.764,0.964,0.782,0.727,0.982,1,0.945,0.636,0.782,0.909,0.982,0.873,0.945,0.636,0.909,0.109,0.436,0.145,0.982,0.764,0.945,0.782,0.945,0.745,1
VN2,finger,0.771,0.914,0.829,0.714,0.914,0.829,0.886,0.571,0.829,0.914,0.857,0.771,0.686,0.686,0.8,0.057,0.486,0.029,0.829,0.8,0.914,0.886,0.971,0.829,1
all,means,0.857,0.961,0.752,0.680,0.972,0.935,0.961,0.552,0.847,0.877,0.955,0.867,0.844,0.805,0.891,0.128,0.533,0.425,0.866,0.834,0.923,0.818,0.982,0.874,1
open,means,0.903,1.000,0.752,0.704,1.000,0.986,0.974,0.506,0.854,0.871,0.960,0.833,0.849,0.974,0.897,0.157,0.625,0.614,0.922,0.831,0.986,0.852,0.986,0.896,1
fingered,means,0.900,0.966,0.767,0.708,0.971,0.943,0.969,0.549,0.853,0.895,0.968,0.900,0.867,0.848,0.926,0.137,0.511,0.445,0.896,0.875,0.916,0.818,0.985,0.894,1
bow,means,0.952,0.984,0.791,0.746,0.982,0.965,0.980,0.532,0.869,0.906,0.977,0.912,0.888,0.944,0.954,0.152,0.534,0.560,0.930,0.899,0.937,0.830,0.993,0.926,1
finger,means,0.674,0.895,0.700,0.561,0.937,0.845,0.920,0.623,0.813,0.837,0.914,0.822,0.773,0.456,0.786,0.064,0.462,0.081,0.715,0.733,0.853,0.775,0.964,0.781,1